date,product,region,units,revenue,cost
2025-04-02,Widget,North,48,1920,960
2025-04-02,Gadget,South,31,1550,620
2025-04-03,Widget,South,39,1560,780
2025-04-03,Gizmo,East,20,1200,600
2025-04-04,Widget,East,55,2200,1100
2025-04-04,Gadget,West,36,1800,720
2025-04-05,Gizmo,North,25,1500,750
2025-04-05,Widget,West,32,1280,640
2025-04-06,Gadget,North,49,2450,980
2025-04-06,Widget,South,42,1680,840
2025-04-07,Gizmo,South,22,1320,660
2025-04-07,Gadget,East,45,2250,900
2025-04-08,Widget,East,52,2080,1040
2025-04-08,Gizmo,West,18,1080,540
2025-04-09,Gadget,South,35,1750,700
2025-04-09,Widget,North,57,2280,1140
2025-04-10,Gizmo,North,27,1620,810
2025-04-10,Gadget,West,40,2000,800
2025-04-11,Widget,West,34,1360,680
2025-04-11,Gizmo,East,24,1440,720
2025-04-12,Gadget,East,43,2150,860
2025-04-12,Widget,South,48,1920,960
2025-04-13,Gizmo,South,20,1200,600
2025-04-13,Widget,North,53,2120,1060
2025-04-14,Gadget,North,50,2500,1000
2025-04-14,Gizmo,West,19,1140,570
2025-04-15,Widget,West,37,1480,740
2025-04-15,Gadget,South,33,1650,660
2025-04-16,Gizmo,East,26,1560,780
2025-04-16,Widget,East,54,2160,1080
